BILLING_PROVIDER_NPI_NUM,HCPCS_CODE,CLAIM_FROM_MONTH,TOTAL_PAID,TOTAL_CLAIMS,TOTAL_UNIQUE_BENEFICIARIES,cost_per_bene,avg_cpb,std_cpb,z_score
1356321699,36415,2022-12,45630.11,16,13,3510.0084615384617,5.868861196004876,40.01839308735936,87.56322605690313
1841069044,85025,2024-03,71259.12,16,16,4453.695,9.50089125198956,59.44260862594832,74.76445283069219
1699769901,85025,2020-02,47659.71,17,12,3971.6425,9.50089125198956,59.44260862594832,66.65490799167968
1992727663,81001,2018-04,31863.56,18,14,2275.9685714285715,5.215718848354984,34.39447676171262,66.02085760199678
1154312429,93010,2022-06,6371.58,481,16,398.22375,6.58740216837122,6.302016133916007,62.14461205897771
1942685920,80053,2018-08,40637.32,35,12,3386.443333333333,14.346578466879235,54.45365227484871,61.92599787147744
1285717298,1160F,2024-02,3506.93,31,29,120.92862068965516,0.09977781972253535,1.9615023450633853,61.60015213544294
1508935891,93005,2018-10,42181.14,14,12,3515.095,24.311060925703096,57.62920799773043,60.5731721874743
1740547728,D1208,2022-09,40320.0,64,63,640.0,15.756722309950415,10.702457309486533,58.32709812696264
1558416701,D0230,2022-02,10314.77,17,16,644.673125,13.29248886947041,11.106289585261212,56.84892612276326
1699769901,85025,2019-03,57317.08,24,17,3371.5929411764705,9.50089125198956,59.44260862594832,56.56030459700983
1699703827,99232,2024-05,164202.47,149,32,5131.3271875,81.19720554835112,93.33721981967422,54.10628248525515
1679514236,90471,2024-10,13780.0,13,13,1060.0,11.04445762823494,19.7004476608834,53.24526429186372
1699769901,97112,2019-05,146383.94,69,12,12198.661666666667,82.55314493281476,233.74630333827673,51.83443908500862
1164874426,1036F,2023-01,3428.52,59,57,60.14947368421053,0.06499863139828786,1.1720128312517781,51.266055669918316
1740547728,D1208,2024-04,99222.0,178,177,560.5762711864406,15.756722309950415,10.702457309486533,50.906024020630156
1699703827,99232,2023-10,125631.42,120,26,4831.977692307692,81.19720554835112,93.33721981967422,50.899100015382515
1033490149,3078F,2019-12,3568.62,54,48,74.34625,0.21091335072187548,1.4597427234017943,50.78657729254689
1194368167,D1120,2024-05,26829.41,25,25,1073.1764,33.92458180910534,20.653516301250104,50.318396297873576
1033154026,80053,2019-04,37653.92,24,14,2689.565714285714,14.346578466879235,54.45365227484871,49.12836924722635
1093740128,85610,2019-08,14832.31,14,13,1140.946923076923,4.2695261892401675,23.193533506016433,49.008375398807914
1760590962,99213,2020-06,32097.91,12,12,2674.8258333333333,50.30623114884409,54.256440587309854,48.372498707523825
1770782831,D0274,2019-10,12958.0,19,19,682.0,22.99497008540311,13.717222749320438,48.04216144607293
1093345886,1159F,2023-05,1295.49,26,14,92.535,0.11494054961927692,1.9842264617849479,46.57737472528339
1285641514,36416,2021-03,15023.6,66,14,1073.1142857142856,2.6842804613405558,23.06013554407819,46.41906823170561
1700886322,1126F,2024-02,1992.71,68,17,117.21823529411765,0.12074950068204841,2.5275217898111544,46.328971827453415
1366515488,83036,2018-04,8269.09,21,19,435.21526315789475,6.234724689727438,9.382233318186282,45.72264661513398
1588659528,J1885,2020-02,27544.95,71,41,671.8280487804878,2.7300812900261757,15.046012409080117,44.470119344489426
1588659528,J1100,2022-01,74281.06,88,34,2184.7370588235294,4.360215666267232,49.34122421062274,44.18975974025074
1669508537,T1015,2022-02,180627.3,325,20,9031.365,211.25273311602157,201.9509684607974,43.6745232474393
1710105200,96372,2022-02,29672.63,46,13,2282.51,18.4798245575949,52.33644373055019,43.259152018401856
1518239219,1159F,2023-10,5393.55,88,63,85.61190476190477,0.11494054961927692,1.9842264617849479,43.08830965563029
1225255375,99233,2023-08,1407046.95,1253,282,4989.528191489361,115.25161189925247,113.78794917723539,42.83649204361673
1699129601,99213,2018-09,54242.98,57,23,2358.3904347826087,50.30623114884409,54.256440587309854,42.540280539037184
1356406136,3074F,2021-04,1334.71,50,12,111.22583333333334,0.2786769239714066,2.6383499327885356,42.051721430333245
1376885228,J7030,2019-06,31495.48,126,12,2624.6233333333334,9.000817210641838,62.27635969637238,42.00024742735649
1447261540,99231,2023-12,595105.82,704,148,4020.98527027027,47.79060555200659,95.24712548270567,41.714588703673684
1760590962,36415,2020-12,22898.76,22,14,1635.6257142857141,5.868861196004876,40.01839308735936,40.72519477561187
1366515488,80048,2020-01,17955.26,14,14,1282.5185714285712,10.811951879837736,31.62681714729883,40.209756600731694
1891775128,3008F,2024-08,2558.57,16,15,170.57133333333334,0.42738295975199997,4.279681254655887,39.75622020646535
1760590962,80053,2019-02,30360.15,20,14,2168.582142857143,14.346578466879235,54.45365227484871,39.56090132424913
1467486449,3008F,2021-05,2707.8,41,16,169.2375,0.42738295975199997,4.279681254655887,39.4445536934786
1114473212,96372,2021-08,74623.3,45,36,2072.8694444444445,18.4798245575949,52.33644373055019,39.25351960220498
1275570376,J2405,2018-06,58865.41,91,61,965.0067213114754,3.6449432707668614,24.618593635477804,39.05023139320567
1548208127,3074F,2023-10,1334.45,49,13,102.65,0.2786769239714066,2.6383499327885356,38.801268097075315
1821201278,92340,2024-08,45524.56,48,45,1011.6568888888888,23.339651209759,25.702421657705255,38.45230036457849
1215936927,J2250,2018-07,123348.12,31,22,5606.732727272727,7.816380280019756,146.59830644813624,38.19223074704141
1699703827,99232,2024-02,246854.72,249,68,3630.216470588235,81.19720554835112,93.33721981967422,38.02362307230196
1326502865,T1015,2023-01,4612210.13,9110,585,7884.11988034188,211.25273311602157,201.9509684607974,37.99371305671807
1598873382,85025,2020-09,27020.78,15,12,2251.7316666666666,9.50089125198956,59.44260862594832,37.72093498662308
1316995210,92015,2021-06,14503.6,32,31,467.85806451612905,11.62575043736845,12.137412693419181,37.58892653671787
1740246792,D0150,2021-01,12619.2,13,12,1051.6000000000001,39.65225914001669,26.99474462700652,37.4868425259187
1235727439,V2103,2024-07,53366.4,688,53,1006.9132075471698,25.734317581029178,26.53337405320663,36.979047142614064
1689997678,3075F,2018-07,1158.62,19,18,64.36777777777777,0.26455838005436755,1.7419189796036767,36.80034499211223
1649356791,99000,2022-01,9900.0,44,41,241.46341463414635,2.618725432064328,6.533361694522869,36.55770189523004
1134187842,81025,2018-01,16017.23,15,15,1067.8153333333332,7.131034884483336,29.02711898670565,36.54114963784869
1154467173,D1206,2021-08,35580.5,46,46,773.4891304347826,19.06332537451484,20.740227395692365,36.37500161724157
1023418035,84439,2022-03,10434.51,12,12,869.5425,8.596994819655384,23.698488672764512,36.3291312399084
1962583054,3079F,2019-11,811.05,15,15,54.07,0.2354169276626151,1.4841469555192717,36.273081228335506
1407243223,1159F,2021-04,1295.17,18,18,71.9538888888889,0.11494054961927692,1.9842264617849479,36.20501476159408
1063470763,81003,2018-10,9053.77,15,13,696.4438461538462,3.182383318247051,19.15561343030946,36.19103430739881
1891849725,99213,2021-03,26100.43,13,13,2007.7253846153847,50.30623114884409,54.256440587309854,36.07717594958423
1720202187,D0272,2020-07,5010.72,13,13,385.44,16.27579710161885,10.25985407274647,35.98142822313643
1063577831,3074F,2024-01,1134.72,52,12,94.56,0.2786769239714066,2.6383499327885356,35.734957635578084
1891849725,99213,2019-12,63387.6,36,32,1980.8625,50.30623114884409,54.256440587309854,35.58206634923813
1891849725,99213,2023-10,116742.82,60,59,1978.6918644067798,50.30623114884409,54.256440587309854,35.542059382881256
1891849725,99214,2024-11,25431.2,13,13,1956.246153846154,65.76619579824255,53.20116577579123,35.5345588857032
1790826600,T1015,2022-03,5094550.87,10351,692,7362.067731213873,211.25273311602157,201.9509684607974,35.40866900812097
1720202187,D0220,2022-07,14175.0,21,19,746.0526315789474,11.256885398376493,20.885311762273968,35.182416932260686
1649299827,81002,2018-08,6440.57,18,16,402.535625,2.858283306045902,11.45748535382212,34.883513210045265
1396052528,3074F,2019-11,1846.1,24,20,92.30499999999999,0.2786769239714066,2.6383499327885356,34.88025675910388
1427273705,99214,2020-01,40269.44,27,21,1917.592380952381,65.76619579824255,53.20116577579123,34.808000128388116
1790745172,3078F,2019-10,1365.0,27,27,50.55555555555556,0.21091335072187548,1.4597427234017943,34.48870913876535
1215921457,90837,2023-08,102468.48,614,19,5393.077894736842,206.3517565596146,150.608574831151,34.43845175476977
1831270842,80307,2024-07,30687.0,30,13,2360.5384615384614,50.17009751054971,67.36065421849007,34.2984846396241
1134632599,T1015,2018-07,1232640.01,3606,175,7043.6572,211.25273311602157,201.9509684607974,33.83199654331086
1023788031,H0004,2022-11,4350892.64,1201,307,14172.288729641692,257.9139427357784,411.7492662585286,33.79332017599607
1366515488,86140,2019-04,18540.95,29,28,662.1767857142858,5.182131651208609,19.455743656621507,33.7686734395001
1578547345,99284,2023-10,58060.07,14,14,4147.147857142857,115.42618741925443,119.51867660698232,33.73298453580826
1205835485,Q9967,2021-12,52088.48,23,16,3255.53,20.00014292975123,96.39242488199676,33.56622536502399
1215903018,88304,2022-12,14128.4,14,13,1086.8,16.36276608301998,32.328250453034784,33.111511415443566
1275799645,G2211,2024-10,8630.46,14,14,616.4614285714285,5.02396503943566,18.467532117383424,33.108780298611144
1396021077,97110,2018-06,78602.56,256,15,5240.170666666667,121.47357371800129,156.17934603694567,32.77448153571977
1437368891,81002,2019-09,6792.0,18,18,377.3333333333333,2.858283306045902,11.45748535382212,32.68387769768047
1316147069,D1120,2022-11,8505.0,12,12,708.75,33.92458180910534,20.653516301250104,32.673633310084305
1639138480,2001F,2019-10,2911.96,50,42,69.33238095238096,0.11023170765909264,2.1331392322533476,32.450834993831535
1629116645,J3490,2020-09,237835.4,218,26,9147.515384615384,40.5873708679278,282.5157455583551,32.23511665075097
1467595793,87088,2020-06,7765.81,12,12,647.1508333333334,6.540136832884302,19.87762698545522,32.22772501814197
1467486449,3008F,2018-07,10359.56,237,75,138.12746666666666,0.42738295975199997,4.279681254655887,32.17531295283032
1356400311,A4927,2020-03,167288.76,85,83,2015.5272289156628,17.808574777036196,62.94764362533268,31.736194384481514
1780671099,G8417,2023-01,14873.39,300,170,87.4905294117647,0.21466041963829297,2.751427161323751,31.720217863276723
1639209596,3077F,2023-02,994.0,49,15,66.26666666666667,0.28493021569282323,2.082039436288354,31.690915791969488
1487734547,G8510,2018-09,2850.0,13,12,237.5,2.289383183390728,7.441912281683634,31.60620656541735
1467486449,3008F,2019-01,6377.43,131,47,135.69,0.42738295975199997,4.279681254655887,31.605768979429275
1194754382,92015,2018-12,10256.54,26,26,394.4823076923077,11.62575043736845,12.137412693419181,31.543506587900843
1730128760,93010,2019-08,3285.14,16,16,205.32125,6.58740216837122,6.302016133916007,31.534963352773524
1366515488,87186,2020-06,5622.3,13,12,468.52500000000003,6.345251796905948,14.784080003734488,31.26198911845354
1013332014,82962,2020-02,16058.6,96,31,518.0193548387097,3.7806097881840595,16.495144127157094,31.175159252103708
1619390838,81025,2022-04,17315.58,20,19,911.3463157894738,7.131034884483336,29.02711898670565,31.15070707909796
1366515488,87081,2018-01,23435.8,13,13,1802.753846153846,10.30235145683433,57.989220733939426,30.910080735883064
1518000421,D0330,2018-06,14965.31,19,18,831.406111111111,40.828611202732155,25.58424772175673,30.90094766539003
1821201278,92340,2022-06,17955.0,22,22,816.1363636363636,23.339651209759,25.702421657705255,30.845214625483912
1073715579,D0220,2023-02,17658.0,27,27,654.0,11.256885398376493,20.885311762273968,30.774887246961658
1073715579,D0220,2023-05,9156.0,14,14,654.0,11.256885398376493,20.885311762273968,30.774887246961658
1699769901,87086,2018-10,9581.56,13,12,798.4633333333333,8.476267010832352,25.728201563060196,30.705102507310166
1952631442,90471,2018-10,53527.74,93,87,615.2613793103448,11.04445762823494,19.7004476608834,30.670212783124942
1821201278,92340,2021-07,32274.4,50,40,806.86,23.339651209759,25.702421657705255,30.484300632246132
1437368891,87077,2023-10,42009.0,76,73,575.4657534246576,6.848486488159495,18.65638987482016,30.47841896271367
1437175734,96110,2023-04,40828.65,44,43,949.5034883720931,15.80995828638713,30.772167869545452,30.342143395420713
1528263910,99215,2024-06,54912.25,35,15,3660.8166666666666,102.62882663125534,117.5313519727367,30.274371734112194
1063567691,87880,2020-01,108857.18,229,209,520.8477511961722,11.55900607739369,16.90586577301315,30.124972714012472
1720202187,D0220,2021-09,8888.0,14,14,634.8571428571429,11.256885398376493,20.885311762273968,29.858316914627157
1497829774,97530,2019-12,141116.45,617,23,6135.497826086957,172.845441782001,199.82176353002575,29.839854673332376
1538378625,99391,2023-02,17489.0,20,12,1457.4166666666667,75.2206609282845,46.643764745807026,29.633028407352832
1063577831,3074F,2021-07,1019.98,62,13,78.46000000000001,0.2786769239714066,2.6383499327885356,29.632658694897565
1720202187,D0220,2019-10,8184.0,14,13,629.5384615384615,11.256885398376493,20.885311762273968,29.603655582336742
1497479836,H0020,2024-07,490780.0,519,18,27265.555555555555,283.5511352939386,916.4702595896426,29.44122205595961
1518026905,99214,2023-07,34244.01,211,21,1630.667142857143,65.76619579824255,53.20116577579123,29.414786767153817
1720196702,1125F,2021-06,505.81,15,13,38.90846153846154,0.08519050121121682,1.321626578506444,29.37537097742396
1467486449,3008F,2018-10,12483.48,309,99,126.09575757575757,0.42738295975199997,4.279681254655887,29.363956598237387
1003824061,86901,2019-08,19460.61,34,26,748.485,6.415306703177629,25.37380399007412,29.245504284147138
1699703827,99232,2024-03,67223.83,61,24,2800.9929166666666,81.19720554835112,93.33721981967422,29.139454939550486
1447233788,96375,2019-01,123423.96,534,88,1402.545,26.495227652065537,47.64713782901692,28.880009063417983
1376686600,71046,2018-03,10715.35,15,15,714.3566666666667,15.320468082792386,24.256692142115863,28.818282166766156
1699703827,99233,2023-12,166012.71,113,49,3388.014489795918,115.25161189925247,113.78794917723539,28.761946247919724
1467486449,3008F,2018-09,7769.67,189,63,123.32809523809524,0.42738295975199997,4.279681254655887,28.717258357649637
1336120047,90686,2020-11,5972.23,21,21,284.39190476190475,6.0173512952468835,9.724724073798265,28.6254449333626
1023561248,4004F,2018-07,413.49,33,28,14.7675,0.024023061814915942,0.5153049208521601,28.611170477091093
1376686600,83690,2018-01,10110.68,16,16,631.9175,5.6847765855635695,22.02690003781066,28.430361164733384
1437255155,3008F,2023-05,3174.39,207,26,122.09192307692307,0.42738295975199997,4.279681254655887,28.428411575000265
1467551762,99214,2020-05,36222.39,30,23,1574.8865217391303,65.76619579824255,53.20116577579123,28.366301826934798
1063952117,A9270,2018-04,21620.9,25,13,1663.146153846154,4.574307076353622,58.49981862932316,28.351743400763944
1699703827,99233,2023-09,100205.87,71,30,3340.1956666666665,115.25161189925247,113.78794917723539,28.341701191435146
1699769901,84703,2018-01,8309.19,15,15,553.946,6.082170708991115,19.360372801457462,28.298206594955925
1023418035,96372,2024-04,26974.3,30,18,1498.572222222222,18.4798245575949,52.33644373055019,28.28033951417791
1528323268,36415,2021-04,32955.26,41,29,1136.3882758620691,5.868861196004876,40.01839308735936,28.24999525088783
1477535326,87804,2019-03,9218.22,27,14,658.4442857142857,20.65296459944532,22.639979420919992,28.171020355500094
1447445135,D9430,2022-02,28529.16,26,26,1097.2753846153846,33.818597468034454,37.96665293075,28.010285475705807
1659521052,80061,2023-01,9156.0,19,19,481.89473684210526,10.071047690182501,16.88784897021203,27.93864926102539
1629078274,90471,2022-02,10097.82,20,18,560.99,11.04445762823494,19.7004476608834,27.91538303282925
1588659528,J0690,2020-05,53922.06,30,18,2995.67,9.838993306410043,107.08576979842603,27.882612342554935
1376686600,81003,2019-10,9112.14,17,17,536.0082352941176,3.182383318247051,19.15561343030946,27.815650692386242
1609850320,86803,2022-02,19650.43,30,30,655.0143333333333,11.757473664763657,23.151698984014097,27.78443431355638
1467486449,3008F,2018-10,9769.68,210,82,119.14243902439024,0.42738295975199997,4.279681254655887,27.7392284613457
1649299827,81002,2020-06,9585.67,34,30,319.52233333333334,2.858283306045902,11.45748535382212,27.638180652061752
1912948308,81025,2020-06,11321.27,20,14,808.6621428571428,7.131034884483336,29.02711898670565,27.61318160234086
1457449282,85018,2020-04,61693.09,162,35,1762.6597142857142,7.4371242315056385,63.6210474394887,27.588709408213333
1699769901,83690,2018-08,7957.17,14,13,612.09,5.6847765855635695,22.02690003781066,27.530211803454005
1225255375,99223,2023-09,239381.06,144,143,1673.9934265734266,88.88537902356872,57.641037941984,27.499644422525446
1881028108,1000F,2021-03,454.35,29,22,20.652272727272727,0.055306594113860734,0.749597066385524,27.477383592861706
1780874214,85018,2020-02,28076.04,75,16,1754.7525,7.4371242315056385,63.6210474394887,27.464423270151322
1881730802,D1206,2018-04,29949.92,53,51,587.2533333333333,19.06332537451484,20.740227395692365,27.395553439150262
1063567691,80076,2024-09,59360.0,70,63,942.2222222222222,7.996830458325813,34.1497884146841,27.356696340823824
1629078274,90471,2021-11,7692.3,17,14,549.45,11.04445762823494,19.7004476608834,27.329609541858613
1295789907,J2270,2021-03,17797.6,35,30,593.2533333333333,4.112639150898722,21.664860610296138,27.19337570547063
1376513754,J1885,2023-04,44056.78,113,107,411.7456074766355,2.7300812900261757,15.046012409080117,27.184314027268286
1447477815,87880,2024-04,7537.12,17,16,471.07,11.55900607739369,16.90586577301315,27.180565615049666
1699703827,99215,2024-08,55933.24,46,17,3290.190588235294,102.62882663125534,117.5313519727367,27.120948649884035
1164488300,1036F,2022-02,381.75,12,12,31.8125,0.06499863139828786,1.1720128312517781,27.088015183838497
1447477815,87880,2020-06,6570.62,14,14,469.33,11.55900607739369,16.90586577301315,27.07764275837009
1437122009,J3301,2020-07,3614.42,53,16,225.90125,4.174700169594971,8.192549873950835,27.06441257506535
1952390239,J2704,2019-04,205879.83,518,290,709.930448275862,4.904536099235934,26.08951854406617,27.02333931482143
1699703827,99309,2024-04,16504.11,17,12,1375.3425,30.956392088457363,49.781244702517796,27.005875725794123
1932114600,81003,2021-07,14544.0,28,28,519.4285714285714,3.182383318247051,19.15561343030946,26.95012561140332
1093761710,92551,2019-11,20356.7,45,45,452.37111111111113,7.503076813733603,16.519821090847433,26.929349407049582
